email_address,institute_sr_no,email_seq
vc@ivri.nic.in,463,5
registrar@jamiahamdard.edu,464,4
vc@jamiahamdard.edu,464,5
registrar@jiit.ac.in,465,4
vc@jiit.ac.in,465,5
registrar@jncasr.ac.in,466,4
vc@jncasr.ac.in,466,5
registrar@kluniversity.in,467,4
vc@kluniversity.in,467,5
registrar@lnipe.edu.in,468,4
vc@lnipe.edu.in,468,5
registrar@lnmiit.ac.in,469,4
vc@lnmiit.ac.in,469,5
registrar@manipal.edu,470,4
vc@manipal.edu,470,5
registrar@nbrc.ac.in,471,4
vc@nbrc.ac.in,471,5
registrar@nerist.ac.in,472,4
vc@nerist.ac.in,472,5
registrar@ngbv.ac.in,473,4
vc@ngbv.ac.in,473,5
registrar@niepa.ac.in,474,4
vc@niepa.ac.in,474,5
registrar@nitte.edu.in,475,4
vc@nitte.edu.in,475,5
registrar@niuniv.com,476,4
vc@niuniv.com,476,5
registrar@prist.ac.in,477,4
vc@prist.ac.in,477,5
registrar@rkmvu.ac.in,478,4
vc@rkmvu.ac.in,478,5
registrar@sahetumkur.ac.in,479,4
vc@sahetumkur.ac.in,479,5
registrar@sastra.edu,480,4
vc@sastra.edu,480,5
registrar@saveetha.com,481,4
vc@saveetha.com,481,5
registrar@sbvu.ac.in,482,4
vc@sbvu.ac.in,482,5
registrar@sduu.ac.in,483,4
vc@sduu.ac.in,483,5
registrar@shiats.edu.in,484,4
vc@shiats.edu.in,484,5
registrar@shobhituniversity.ac.in,485,4
vc@shobhituniversity.ac.in,485,5
registrar@siu.edu.in,486,4
vc@siu.edu.in,486,5
registrar@spiher.ac.in,487,4
vc@spiher.ac.in,487,5
registrar@srmist.edu.in,488,4
vc@srmist.edu.in,488,5
registrar@sssihl.edu.in,489,4
vc@sssihl.edu.in,489,5
registrar@sumandeepvidyapeethdu.edu.in,490,4
vc@sumandeepvidyapeethdu.edu.in,490,5
registrar@tmv.edu.in,491,4
vc@tmv.edu.in,491,5
registrar@velsuniv.ac.in,492,4
vc@velsuniv.ac.in,492,5
registrar@yenepoya.edu.in,493,4
vc@yenepoya.edu.in,493,5
registrar@avinuty.ac.in,494,4
vc@avinuty.ac.in,494,5
registrar@bldedu.ac.in,495,4
vc@bldedu.ac.in,495,5
registrar@care.edu.in,496,4
vc@care.edu.in,496,5
registrar@chaitanya.edu.in,497,4
vc@chaitanya.edu.in,497,5
registrar@cibs.ac.in,498,4
vc@cibs.ac.in,498,5
registrar@dypatilunikop.org,499,4
vc@dypatilunikop.org,499,5
registrar@ftii.ac.in,500,4
vc@ftii.ac.in,500,5
registrar@gmrit.edu.in,501,4
vc@gmrit.edu.in,501,5
registrar@heartfulness.org,502,4
vc@heartfulness.org,502,5
registrar@hindustanuniv.ac.in,503,4
vc@hindustanuniv.ac.in,503,5
registrar@iifm.ac.in,504,4
vc@iifm.ac.in,504,5
registrar@iihs.co.in,505,4
vc@iihs.co.in,505,5
registrar@iisc.ac.in,506,4
vc@iisc.ac.in,506,5
registrar@ili.ac.in,507,4
vc@ili.ac.in,507,5
registrar@jrnrvu.edu.in,508,4
vc@jrnrvu.edu.in,508,5
registrar@kahedu.edu.in,509,4
vc@kahedu.edu.in,509,5
registrar@kaher.edu.in,510,4
vc@kaher.edu.in,510,5
registrar@kalasalingam.ac.in,511,4
vc@kalasalingam.ac.in,511,5
registrar@kanchiuniv.ac.in,512,4
vc@kanchiuniv.ac.in,512,5
registrar@khsindia.org,513,4
vc@khsindia.org,513,5
registrar@kiit.ac.in,514,4
vc@kiit.ac.in,514,5
registrar@kiss.ac.in,515,4
vc@kiss.ac.in,515,5
registrar@kristujayanti.edu.in,516,4
vc@kristujayanti.edu.in,516,5
registrar@kvv.edu.in,517,4
vc@kvv.edu.in,517,5
registrar@maher.ac.in,518,4
vc@maher.ac.in,518,5
registrar@manavrachna.edu.in,519,4
vc@manavrachna.edu.in,519,5
registrar@mits.ac.in,520,4
vc@mits.ac.in,520,5
registrar@mrdu.edu.in,521,4
vc@mrdu.edu.in,521,5
registrar@ndri.res.in,522,4
vc@ndri.res.in,522,5
registrar@niamt.ac.in,523,4
vc@niamt.ac.in,523,5
registrar@nitttrbpl.ac.in,524,4
vc@nitttrbpl.ac.in,524,5
registrar@nriit.edu.in,525,4
vc@nriit.edu.in,525,5
registrar@pec.ac.in,526,4
vc@pec.ac.in,526,5
registrar@phfi.org,527,4
vc@phfi.org,527,5
registrar@pimrindore.ac.in,528,4
vc@pimrindore.ac.in,528,5
registrar@santosh.ac.in,529,4
vc@santosh.ac.in,529,5
registrar@srfti.ac.in,530,4
vc@srfti.ac.in,530,5
registrar@svyasa.edu.in,531,4
vc@svyasa.edu.in,531,5
registrar@vignan.ac.in,532,4
vc@vignan.ac.in,532,5
registrar@vit.ac.in,533,4
vc@vit.ac.in,533,5
registrar@vmrfdu.edu.in,534,4
vc@vmrfdu.edu.in,534,5
registrar@web.mitsgwalior.in,535,4
vc@web.mitsgwalior.in,535,5
registrar@ametuniv.ac.in,536,4
vc@ametuniv.ac.in,536,5
registrar@audisankara.ac.in,537,4
vc@audisankara.ac.in,537,5
registrar@aurora.ac.in,538,4
vc@aurora.ac.in,538,5
registrar@bharathuniv.ac.in,539,4
vc@bharathuniv.ac.in,539,5
registrar@bits-pilani.ac.in,540,4
vc@bits-pilani.ac.in,540,5
registrar@cit.ac.in,541,4
vc@cit.ac.in,541,5
registrar@cmi.ac.in,542,4
vc@cmi.ac.in,542,5
registrar@cvv.ac.in,543,4
vc@cvv.ac.in,543,5
registrar@dcpune.ac.in,544,4
vc@dcpune.ac.in,544,5
registrar@dei.ac.in,545,4
vc@dei.ac.in,545,5
registrar@diat.ac.in,546,4
vc@diat.ac.in,546,5
registrar@drmgrdu.ac.in,547,4
vc@drmgrdu.ac.in,547,5
registrar@geu.ac.in,548,4
vc@geu.ac.in,548,5
registrar@ictmumbai.edu.in,549,4
vc@ictmumbai.edu.in,549,5
registrar@iipsindia.ac.in,550,4
vc@iipsindia.ac.in,550,5
registrar@iisuniv.ac.in,551,4
vc@iisuniv.ac.in,551,5
registrar@ilbs.in,552,4
vc@ilbs.in,552,5
registrar@kalamandalam.ac.in,553,4
vc@kalamandalam.ac.in,553,5
registrar@karunya.edu,554,4
vc@karunya.edu,554,5
registrar@kiet.edu,555,4
vc@kiet.edu,555,5
registrar@lingayasuniversity.edu.in,556,4
vc@lingayasuniversity.edu.in,556,5
registrar@mallareddyvishwavidyapeeth.com,557,4
vc@mallareddyvishwavidyapeeth.com,557,5
registrar@mgmuhs.com,558,4
vc@mgmuhs.com,558,5
registrar@mmumullana.org,559,4
vc@mmumullana.org,559,5
registrar@nia.nic.in,560,4
vc@nia.nic.in,560,5
registrar@nitttrc.ac.in,561,4
vc@nitttrc.ac.in,561,5
registrar@nitttrchd.ac.in,562,4
vc@nitttrchd.ac.in,562,5
registrar@nitttrkol.ac.in,563,4
vc@nitttrkol.ac.in,563,5
registrar@nmims.edu,564,4
vc@nmims.edu,564,5
registrar@nnm.ac.in,565,4
vc@nnm.ac.in,565,5
registrar@pmu.edu,566,4
vc@pmu.edu,566,5
registrar@pravara.com,567,4
vc@pravara.com,567,5
registrar@ruraluniv.ac.in,568,4
vc@ruraluniv.ac.in,568,5
registrar@sathyabama.ac.in,569,4
vc@sathyabama.ac.in,569,5
registrar@sirjjschoolofart.in,570,4
vc@sirjjschoolofart.in,570,5
registrar@soa.ac.in,571,4
vc@soa.ac.in,571,5
registrar@sriramachandra.edu.in,572,4
vc@sriramachandra.edu.in,572,5
registrar@staloysius.edu.in,573,4
vc@staloysius.edu.in,573,5
registrar@tcetmumbai.in,574,4
vc@tcetmumbai.in,574,5
registrar@tcgcrest.org,575,4
vc@tcgcrest.org,575,5
registrar@terisas.ac.in,576,4
vc@terisas.ac.in,576,5
registrar@thapar.edu,577,4
vc@thapar.edu,577,5
registrar@tifr.res.in,578,4
vc@tifr.res.in,578,5
registrar@tiss.edu,579,4
vc@tiss.edu,579,5
registrar@veltech.edu.in,580,4
vc@veltech.edu.in,580,5
registrar@vrsiddhartha.ac.in,581,4
vc@vrsiddhartha.ac.in,581,5
registrar@igtamsu.ac.in.,582,4
vc@igtamsu.ac.in.,582,5
registrar@mbu.asia,583,4
vc@mbu.asia,583,5
registrar@abhilashiuniversity.com,584,4
vc@abhilashiuniversity.com,584,5
registrar@abhyudayuniversity.com,585,4
vc@abhyudayuniversity.com,585,5
registrar@bhagwantuniversity.com,586,4
vc@bhagwantuniversity.com,586,5
registrar@capitaluniversitysikkim.com,587,4
vc@capitaluniversitysikkim.com,587,5
registrar@cmchbhopal.com,588,4
vc@cmchbhopal.com,588,5
registrar@dknmuncr.com,589,4
vc@dknmuncr.com,589,5
registrar@ethicsuniversityuk.com,590,4
vc@ethicsuniversityuk.com,590,5
registrar@gdgoenkauniversity.com,591,4
vc@gdgoenkauniversity.com,591,5
registrar@geetanjaliuniversity.com,592,4
vc@geetanjaliuniversity.com,592,5
registrar@himalayanuniversity.com,593,4
vc@himalayanuniversity.com,593,5
registrar@iimtu.com,594,4
vc@iimtu.com,594,5
registrar@iiuler.com,595,4
vc@iiuler.com,595,5
registrar@jodhpurnationaluniversity.com,596,4
vc@jodhpurnationaluniversity.com,596,5
registrar@jvwomensuniv.com,597,4
vc@jvwomensuniv.com,597,5
registrar@karnavatiuniversity.com,598,4
vc@karnavatiuniversity.com,598,5
registrar@malwanchaluniversity.com,599,4
vc@malwanchaluniversity.com,599,5
registrar@matagujriuniversity.com,600,4
vc@matagujriuniversity.com,600,5
registrar@mgusikkim.com,601,4
vc@mgusikkim.com,601,5
registrar@mituniversitysikkim.com,602,4
vc@mituniversitysikkim.com,602,5
registrar@mjrpuniversity.com,603,4
vc@mjrpuniversity.com,603,5
registrar@mmyvv.com,604,4
vc@mmyvv.com,604,5
registrar@mumt.com,605,4
vc@mumt.com,605,5
registrar@patanjaliuniversity.com,606,4
vc@patanjaliuniversity.com,606,5
registrar@phonicsuniversity.com,607,4
vc@phonicsuniversity.com,607,5
registrar@rayatbahrahsp.com,608,4
vc@rayatbahrahsp.com,608,5
registrar@sainathuniversity.com,609,4
vc@sainathuniversity.com,609,5
registrar@shooliniuniversity.com,610,4
vc@shooliniuniversity.com,610,5
registrar@shridavarauniversity.com,611,4
vc@shridavarauniversity.com,611,5
registrar@shrishankaracharyauniversity.com,612,4
vc@shrishankaracharyauniversity.com,612,5
registrar@sikkiminternationaluniversity.com,613,4
vc@sikkiminternationaluniversity.com,613,5
registrar@skduniversity.com,614,4
vc@skduniversity.com,614,5
registrar@skuindia.com,615,4
vc@skuindia.com,615,5
registrar@sonadeviuniversity.com,616,4
vc@sonadeviuniversity.com,616,5
registrar@starexuniversity.com,617,4
vc@starexuniversity.com,617,5
registrar@tantiauniversity.com,618,4
vc@tantiauniversity.com,618,5
registrar@amity.edu,619,4
vc@amity.edu,619,5
registrar@university.apeejay.edu,620,4
vc@university.apeejay.edu,620,5
registrar@giet.edu,621,4
vc@giet.edu,621,5
registrar@iilm.edu,622,4
vc@iilm.edu,622,5
registrar@jaipur.manipal.edu,623,4
vc@jaipur.manipal.edu,623,5
registrar@ncuindia.edu,624,4
vc@ncuindia.edu,624,5
registrar@nist.edu,625,4
vc@nist.edu,625,5
registrar@pes.edu,626,4
vc@pes.edu,626,5
registrar@raiuniversity.edu,627,4
vc@raiuniversity.edu,627,5
registrar@somaiya.edu,628,4
vc@somaiya.edu,628,5
registrar@eternaluniversity.edu.i,629,4
vc@eternaluniversity.edu.i,629,5
registrar@abvsu.ac.in,630,4
vc@abvsu.ac.in,630,5
registrar@adamasuniversity.ac.in,631,4
vc@adamasuniversity.ac.in,631,5
registrar@adaniuni.ac.in,632,4
vc@adaniuni.ac.in,632,5
registrar@adeshuniversity.ac.in,633,4
vc@adeshuniversity.ac.in,633,5
registrar@ahu.ac.in,634,4
vc@ahu.ac.in,634,5
registrar@aiph.ac.in,635,4
vc@aiph.ac.in,635,5
registrar@aisectuniversityjharkhand.ac.in,636,4
vc@aisectuniversityjharkhand.ac.in,636,5
registrar@aksuniversity.ac.in,637,4
vc@aksuniversity.ac.in,637,5
registrar@amrapali.ac.in,638,4
vc@amrapali.ac.in,638,5
registrar@anjaneyauniversity.ac.in,639,4
vc@anjaneyauniversity.ac.in,639,5
registrar@arkajainuniversity.ac.in,640,4
vc@arkajainuniversity.ac.in,640,5
registrar@arunachaluniversity.ac.in,641,4
vc@arunachaluniversity.ac.in,641,5
registrar@arunodayauniversity.ac.in,642,4
vc@arunodayauniversity.ac.in,642,5
registrar@asbm.ac.in,643,4
vc@asbm.ac.in,643,5
registrar@atmiyauni.ac.in,644,4
vc@atmiyauni.ac.in,644,5
registrar@auindia.ac.in,645,4
vc@auindia.ac.in,645,5
registrar@baddiuniv.ac.in,646,4
vc@baddiuniv.ac.in,646,5
registrar@bbdu.ac.in,647,4
vc@bbdu.ac.in,647,5
registrar@bdsu.ac.in,648,4
vc@bdsu.ac.in,648,5
registrar@bgu.ac.in,649,4
vc@bgu.ac.in,649,5
registrar@birtikendrajituniversity.ac.in,650,4
vc@birtikendrajituniversity.ac.in,650,5
registrar@bmu.ac.in,651,4
vc@bmu.ac.in,651,5
registrar@bmusurat.ac.in,652,4
vc@bmusurat.ac.in,652,5
registrar@bnuniversity.ac.in,653,4
vc@bnuniversity.ac.in,653,5
registrar@brainwareuniversity.ac.in,654,4
vc@brainwareuniversity.ac.in,654,5
registrar@cept.ac.in,655,4
vc@cept.ac.in,655,5
registrar@cgu-odisha.ac.in,656,4
vc@cgu-odisha.ac.in,656,5
registrar@charusat.ac.in,657,4
vc@charusat.ac.in,657,5
registrar@csmu.ac.in,658,4
vc@csmu.ac.in,658,5
registrar@cushahuniversity.ac.in,659,4
vc@cushahuniversity.ac.in,659,5
registrar@cutm.ac.in,660,4
vc@cutm.ac.in,660,5
registrar@cutmap.ac.in,661,4
vc@cutmap.ac.in,661,5
registrar@cvru.ac.in,662,4
vc@cvru.ac.in,662,5
registrar@cvrubihar.ac.in,663,4
vc@cvrubihar.ac.in,663,5
registrar@daiict.ac.in,664,4
vc@daiict.ac.in,664,5
registrar@darshan.ac.in,665,4
vc@darshan.ac.in,665,5
registrar@dbuniversity.ac.in,666,4
vc@dbuniversity.ac.in,666,5
registrar@driems.ac.in,667,4
vc@driems.ac.in,667,5
registrar@dsuniversity.ac.in,668,4
vc@dsuniversity.ac.in,668,5
registrar@dsvv.ac.in,669,4
vc@dsvv.ac.in,669,5
registrar@durgasorenuniversity.ac.in,670,4
vc@durgasorenuniversity.ac.in,670,5
registrar@dypiu.ac.in,671,4
vc@dypiu.ac.in,671,5
registrar@eklavyauniversity.ac.in,672,4
vc@eklavyauniversity.ac.in,672,5
registrar@gandhinagaruni.ac.in,673,4
vc@gandhinagaruni.ac.in,673,5
registrar@ganpatuniversity.ac.in,674,4
vc@ganpatuniversity.ac.in,674,5
registrar@gcuniversity.ac.in,675,4
vc@gcuniversity.ac.in,675,5
registrar@gehu.ac.in,676,4
vc@gehu.ac.in,676,5
registrar@gla.ac.in,677,4
vc@gla.ac.in,677,5
registrar@glsuniversity.ac.in,678,4
vc@glsuniversity.ac.in,678,5
registrar@gmu.ac.in,679,4
vc@gmu.ac.in,679,5
registrar@gnsu.ac.in,680,4
vc@gnsu.ac.in,680,5
registrar@gokuluniversity.ac.in,681,4
vc@gokuluniversity.ac.in,681,5
registrar@gsuniversity.ac.in,682,4
vc@gsuniversity.ac.in,682,5
registrar@gyanodayauniversity.ac.in,683,4
vc@gyanodayauniversity.ac.in,683,5
registrar@hgu.ac.in,684,4
vc@hgu.ac.in,684,5
registrar@hrit.ac.in,685,4
vc@hrit.ac.in,685,5
registrar@huroorkee.ac.in,686,4
vc@huroorkee.ac.in,686,5
registrar@iar.ac.in,687,4
vc@iar.ac.in,687,5
registrar@iecuniversity.ac.in,688,4
vc@iecuniversity.ac.in,688,5
registrar@iesuniversity.ac.in,689,4
vc@iesuniversity.ac.in,689,5
registrar@iftmuniversity.ac.in,690,4
vc@iftmuniversity.ac.in,690,5
registrar@iilm.ac.in,691,4
vc@iilm.ac.in,691,5
registrar@indusuni.ac.in,692,4
vc@indusuni.ac.in,692,5
registrar@isu.ac.in,693,4
vc@isu.ac.in,693,5
registrar@itm.ac.in,694,4
vc@itm.ac.in,694,5
registrar@itmbu.ac.in,695,4
vc@itmbu.ac.in,695,5
registrar@jagannathuniversityncr.ac.in,696,4
vc@jagannathuniversityncr.ac.in,696,5
registrar@jaypeeu.ac.in,697,4
vc@jaypeeu.ac.in,697,5
registrar@jisuniversity.ac.in,698,4
vc@jisuniversity.ac.in,698,5
registrar@jjtu.ac.in,699,4
vc@jjtu.ac.in,699,5
registrar@jmau.ac.in,700,4
vc@jmau.ac.in,700,5
registrar@jnujaipur.ac.in,701,4
vc@jnujaipur.ac.in,701,5
registrar@jspmuni.ac.in,702,4
vc@jspmuni.ac.in,702,5
registrar@juet.ac.in,703,4
vc@juet.ac.in,703,5
registrar@juit.ac.in,704,4
vc@juit.ac.in,704,5
registrar@kalingauniversity.ac.in,705,4
vc@kalingauniversity.ac.in,705,5
registrar@khalsauniversity.ac.in,706,4
vc@khalsauniversity.ac.in,706,5
registrar@kkuniversity.ac.in,707,4
vc@kkuniversity.ac.in,707,5
registrar@kletech.ac.in,708,4
vc@kletech.ac.in,708,5
registrar@kpgu.ac.in,709,4
vc@kpgu.ac.in,709,5
registrar@lnctu.ac.in,710,4
vc@lnctu.ac.in,710,5
registrar@lnctvu.ac.in,711,4
vc@lnctvu.ac.in,711,5
registrar@ltsu.ac.in,712,4
vc@ltsu.ac.in,712,5
registrar@lyu.ac.in,713,4
vc@lyu.ac.in,713,5
registrar@maharishiuniversity.ac.in,714,4
vc@maharishiuniversity.ac.in,714,5
registrar@mallareddyuniversity.ac.in,715,4
vc@mallareddyuniversity.ac.in,715,5
registrar@marwadiuniversity.ac.in,716,4
vc@marwadiuniversity.ac.in,716,5
registrar@matsuniversity.ac.in,717,4
vc@matsuniversity.ac.in,717,5
registrar@mauj.ac.in,718,4
vc@mauj.ac.in,718,5
registrar@medicaps.ac.in,719,4
vc@medicaps.ac.in,719,5
registrar@mgmu.ac.in,720,4
vc@mgmu.ac.in,720,5
registrar@mgug.ac.in,721,4
vc@mgug.ac.in,721,5
registrar@mitvpu.ac.in,722,4
vc@mitvpu.ac.in,722,5
registrar@mku.ac.in,723,4
vc@mku.ac.in,723,5
registrar@modyuniversity.ac.in,724,4
vc@modyuniversity.ac.in,724,5
registrar@monarkuni.ac.in,725,4
vc@monarkuni.ac.in,725,5
registrar@mpu.ac.in,726,4
vc@mpu.ac.in,726,5
registrar@msds.ac.in,727,4
vc@msds.ac.in,727,5
registrar@msruas.ac.in,728,4
vc@msruas.ac.in,728,5
registrar@mssv.ac.in,729,4
vc@mssv.ac.in,729,5
registrar@mvgu.ac.in,730,4
vc@mvgu.ac.in,730,5
registrar@nicmar.ac.in,731,4
vc@nicmar.ac.in,731,5
registrar@nirmauni.ac.in,732,4
vc@nirmauni.ac.in,732,5
registrar@nirwanuniversity.ac.in,733,4
vc@nirwanuniversity.ac.in,733,5
registrar@nobleuniversity.ac.in,734,4
vc@nobleuniversity.ac.in,734,5
registrar@nsuniv.ac.in,735,4
vc@nsuniv.ac.in,735,5
registrar@nuv.ac.in,736,4
vc@nuv.ac.in,736,5
registrar@opju.ac.in,737,4
vc@opju.ac.in,737,5
registrar@osgu.ac.in,738,4
vc@osgu.ac.in,738,5
registrar@paruluniversity.ac.in,739,4
vc@paruluniversity.ac.in,739,5
registrar@pdm.ac.in,740,4
vc@pdm.ac.in,740,5
registrar@pdpu.ac.in,741,4
vc@pdpu.ac.in,741,5
registrar@ppsu.ac.in,742,4
vc@ppsu.ac.in,742,5
registrar@ramauniversity.ac.in,743,4
vc@ramauniversity.ac.in,743,5
registrar@renaissance.ac.in,744,4
vc@renaissance.ac.in,744,5
registrar@rimt.ac.in,745,4
vc@rimt.ac.in,745,5
registrar@rku.ac.in,746,4
vc@rku.ac.in,746,5
registrar@rntu.ac.in,747,4
vc@rntu.ac.in,747,5
registrar@rungta.ac.in,748,4
vc@rungta.ac.in,748,5
registrar@saitirupatiuniversity.ac.in,749,4
vc@saitirupatiuniversity.ac.in,749,5
registrar@samglobaluniversity.ac.in,750,4
vc@samglobaluniversity.ac.in,750,5
registrar@sangamuniversity.ac.in,751,4
vc@sangamuniversity.ac.in,751,5
registrar@sanjayghodawatuniversity.ac.in,752,4
vc@sanjayghodawatuniversity.ac.in,752,5
registrar@sarvajanikuniversity.ac.in,753,4
vc@sarvajanikuniversity.ac.in,753,5
registrar@sbbsuniversity.ac.in,754,4
vc@sbbsuniversity.ac.in,754,5
registrar@sbu.ac.in,755,4
vc@sbu.ac.in,755,5
registrar@sgrru.ac.in,756,4
vc@sgrru.ac.in,756,5
registrar@sgsuniversity.ac.in,757,4
vc@sgsuniversity.ac.in,757,5
registrar@sgtuniversity.ac.in,758,4
vc@sgtuniversity.ac.in,758,5
registrar@agra.sharda.ac.in,759,4
vc@agra.sharda.ac.in,759,5
registrar@sharda.ac.in,760,4
vc@sharda.ac.in,760,5
registrar@shreyarthuni.ac.in,761,4
vc@shreyarthuni.ac.in,761,5
registrar@sigmauniversity.ac.in,762,4
vc@sigmauniversity.ac.in,762,5
registrar@sikkimskilluniversity.ac.in,763,4
vc@sikkimskilluniversity.ac.in,763,5
registrar@silicon.ac.in,764,4
vc@silicon.ac.in,764,5
registrar@silveroakuni.ac.in,765,4
vc@silveroakuni.ac.in,765,5
registrar@sju.ac.in,766,4
vc@sju.ac.in,766,5
registrar@sksinternationaluniversity.ac.in,767,4
vc@sksinternationaluniversity.ac.in,767,5
registrar@snuniv.ac.in,768,4
vc@snuniv.ac.in,768,5
registrar@spsu.ac.in,769,4
vc@spsu.ac.in,769,5
registrar@spu.ac.in,770,4
vc@spu.ac.in,770,5
registrar@spubgt.ac.in,771,4
vc@spubgt.ac.in,771,5
registrar@srmu.ac.in,772,4
vc@srmu.ac.in,772,5
registrar@srmuniversity.ac.in,773,4
vc@srmuniversity.ac.in,773,5
registrar@srmus.ac.in,774,4
vc@srmus.ac.in,774,5
registrar@sruraipur.ac.in,775,4
vc@sruraipur.ac.in,775,5
registrar@sspu.ac.in,776,4
vc@sspu.ac.in,776,5
registrar@suas.ac.in,777,4
vc@suas.ac.in,777,5
registrar@sug.ac.in,778,4
vc@sug.ac.in,778,5
registrar@suni.ac.in,779,4
vc@suni.ac.in,779,5
registrar@svgu.ac.in,780,4
vc@svgu.ac.in,780,5
registrar@svkmnmimsgu.ac.in,781,4
vc@svkmnmimsgu.ac.in,781,5
registrar@svuniversity.ac.in,782,4
vc@svuniversity.ac.in,782,5
registrar@swamivivekanandauniversity.ac.in,783,4
vc@swamivivekanandauniversity.ac.in,783,5
registrar@takshashilauniv.ac.in,784,4
vc@takshashilauniv.ac.in,784,5
registrar@technoindiauniversity.ac.in,785,4
vc@technoindiauniversity.ac.in,785,5
registrar@tiut.ac.in,786,4
vc@tiut.ac.in,786,5
registrar@tmu.ac.in,787,4
vc@tmu.ac.in,787,5
registrar@umu.ac.in,788,4
vc@umu.ac.in,788,5
registrar@upes.ac.in,789,4
vc@upes.ac.in,789,5
registrar@upluniversity.ac.in,790,4
vc@upluniversity.ac.in,790,5
registrar@utu.ac.in,791,4
vc@utu.ac.in,791,5
registrar@vgu.ac.in,792,4
vc@vgu.ac.in,792,5
registrar@vidhyadeepuni.ac.in,793,4
vc@vidhyadeepuni.ac.in,793,5
registrar@vitap.ac.in,794,4
vc@vitap.ac.in,794,5
registrar@vitbhopal.ac.in,795,4
vc@vitbhopal.ac.in,795,5
registrar@vivekuniversity.ac.in,796,4
vc@vivekuniversity.ac.in,796,5
registrar@vou.ac.in,797,4
vc@vou.ac.in,797,5
registrar@vupune.ac.in,798,4
vc@vupune.ac.in,798,5
registrar@vvitu.ac.in,799,4
vc@vvitu.ac.in,799,5
registrar@vvwusurat.ac.in,800,4
vc@vvwusurat.ac.in,800,5
registrar@williamcareyuniversity.ac.in,801,4
vc@williamcareyuniversity.ac.in,801,5
registrar@worlduniversityofdesign.ac.in,802,4
vc@worlduniversityofdesign.ac.in,802,5
registrar@xup.ac.in,803,4
vc@xup.ac.in,803,5
registrar@ybnu.ac.in,804,4
vc@ybnu.ac.in,804,5
registrar@adityauniversity.in,805,4
vc@adityauniversity.in,805,5
registrar@adtu.in,806,4
vc@adtu.in,806,5
registrar@amaltasuniversity.in,807,4
vc@amaltasuniversity.in,807,5
registrar@arni.in,808,4
vc@arni.in,808,5
registrar@auniv.in,809,4
vc@auniv.in,809,5
registrar@cgcuniversity.in,810,4
vc@cgcuniversity.in,810,5
registrar@apexuniversity.co.in,811,4
vc@apexuniversity.co.in,811,5
registrar@sikkimglobaltechnicaluniversity.co.in,812,4
vc@sikkimglobaltechnicaluniversity.co.in,812,5
registrar@singhaniauniversity.co.in,813,4
vc@singhaniauniversity.co.in,813,5
registrar@sssutms.co.in,814,4
vc@sssutms.co.in,814,5
registrar@coeruniversity.in,815,4
vc@coeruniversity.in,815,5
registrar@cpuh.in,816,4
vc@cpuh.in,816,5
registrar@cpur.in,817,4
vc@cpur.in,817,5
registrar@ctuniversity.in,818,4
vc@ctuniversity.in,818,5
registrar@cuchd.in,819,4
vc@cuchd.in,819,5
registrar@culko.in,820,4
vc@culko.in,820,5
registrar@ddibu.in,821,4
vc@ddibu.in,821,5
registrar@deshbhagatuniversity.in,822,4
vc@deshbhagatuniversity.in,822,5
registrar@aaft.edu.in,823,4
vc@aaft.edu.in,823,5
registrar@acu.edu.in,824,4
vc@acu.edu.in,824,5
registrar@adypu.edu.in,825,4
vc@adypu.edu.in,825,5
registrar@agu.edu.in,826,4
vc@agu.edu.in,826,5
registrar@ahduni.edu.in,827,4
vc@ahduni.edu.in,827,5
registrar@aiu.edu.in,828,4
vc@aiu.edu.in,828,5
registrar@aiuniversity.edu.in,829,4
vc@aiuniversity.edu.in,829,5
registrar@alarduniversity.edu.in,830,4
vc@alarduniversity.edu.in,830,5
registrar@alfalahuniversity.edu.in,831,4
vc@alfalahuniversity.edu.in,831,5
registrar@alkarimuniversity.edu.in,832,4
vc@alkarimuniversity.edu.in,832,5
registrar@alliance.edu.in,833,4
vc@alliance.edu.in,833,5
registrar@annamacharyauniversity.edu.in,834,4
vc@annamacharyauniversity.edu.in,834,5
registrar@anu.edu.in,835,4
vc@anu.edu.in,835,5
registrar@apexuniversity.edu.in,836,4
vc@apexuniversity.edu.in,836,5
registrar@apollouniversity.edu.in,837,4
vc@apollouniversity.edu.in,837,5
registrar@atlasuniversity.edu.in,838,4
vc@atlasuniversity.edu.in,838,5
registrar@atriauniversity.edu.in,839,4
vc@atriauniversity.edu.in,839,5
registrar@aurouniversity.edu.in,840,4
vc@aurouniversity.edu.in,840,5
registrar@avantikauniversity.edu.in,841,4
vc@avantikauniversity.edu.in,841,5
registrar@azimpremjiuniversity.edu.in,842,4
vc@azimpremjiuniversity.edu.in,842,5
registrar@bahrauniversity.edu.in,843,4
vc@bahrauniversity.edu.in,843,5
registrar@bennett.edu.in,844,4
vc@bennett.edu.in,844,5
registrar@bestiu.edu.in,845,4
vc@bestiu.edu.in,845,5
registrar@bhabhauniversity.edu.in,846,4
vc@bhabhauniversity.edu.in,846,5
registrar@bhaikakauniv.edu.in,847,4
vc@bhaikakauniv.edu.in,847,5
registrar@biu.edu.in,848,4
vc@biu.edu.in,848,5
registrar@bmu.edu.in,849,4
vc@bmu.edu.in,849,5
registrar@chanakyauniversity.edu.in,850,4
vc@chanakyauniversity.edu.in,850,5
registrar@chitkara.edu.in,851,4
vc@chitkara.edu.in,851,5
registrar@chitkarauniversity.edu.in,852,4
